"Tipo Doc.;""N.º Doc."";""Refª Cliente"";""Data"";""Cliente"";""Contribuinte"";""País"";""Zona geográfica"";""Método de Pagamento"";""Valor Pgto."";""Comissão Pgto."";""Cód. Artigo"";""Código EAN"";""Artigos"";""Qtd."";""Uni."";""Preço unitário sem IVA"";""Total Artigo"";""Total Ilíq."";""Desc."";""Total Liq."";""Impostos"";""Desc. Financeiro"";""Total"";""Acumulado"";""Local de Descarga"";""Observações""",,,,,,,,,,,,
"Fatura;""FAT/298"";"""";""2023-12-14"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Henrique)"";""1","000"";""Uni."";""78","97000"";""78","97"";""78","97"";""0","00"";""78","97"";""18","16"";""0","00"";""97","13"";""582","78""",,
"Fatura;""FAT/298"";"""";""2023-12-14"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Islam)"";""1","000"";""Uni."";""78","97000"";""78","97"";""78","97"";""0","00"";""78","97"";""18","16"";""0","00"";""97","13"";""679","91""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/299"";"""";""2023-12-14"";""People In Shape","S.a."";""508296684"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""549","12"";""0","00"";""549","12"";""126","29"";""0","00"";""675","41"";""95300","56"";"""";""Apoio aprovado: 5896","33 (Redução 50% - 56 meses)""",,,
"Fatura;""FAT/299"";"""";""2023-12-14"";""People In Shape","S.a."";""508296684"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Mara)"";""1","000"";""Uni."";""123","19000"";""123","19"";""123","19"";""0","00"";""123","19"";""28","33"";""0","00"";""151","52"";""151","52""",
"Fatura;""FAT/299"";"""";""2023-12-14"";""People In Shape","S.a."";""508296684"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Nuno)"";""1","000"";""Uni."";""226","93000"";""226","93"";""226","93"";""0","00"";""226","93"";""52","19"";""0","00"";""279","12"";""430","64""",
"Fatura;""FAT/299"";"""";""2023-12-14"";""People In Shape","S.a."";""508296684"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Márcia)"";""1","000"";""Uni."";""199","00000"";""199","00"";""199","00"";""0","00"";""199","00"";""45","77"";""0","00"";""244","77"";""675","41""",
 ,,,,,,,,,,,,
"Nota de Crédito;""FAT/9"";"""";""2023-12-17"";""Clausula Eximia - Unipessoal Lda"";""517333724"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""-580","00"";""0","00"";""-580","00"";""-133","40"";""0","00"";""-713","40"";""94587","16"";"""";""""",,,,,
"Nota de Crédito;""FAT/9"";"""";""2023-12-17"";""Clausula Eximia - Unipessoal Lda"";""517333724"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Consultoria + Coaching + Formação do Gabriel Trigo em gestão operacional e financeira"";""1","000"";""Uni."";""290","00000"";""290","00"";""-290","00"";""0","00"";""-290","00"";""-66","70"";""0","00"";""-356","70"";""-356","70""",,
"Nota de Crédito;""FAT/9"";"""";""2023-12-17"";""Clausula Eximia - Unipessoal Lda"";""517333724"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Consultoria + Coaching + Formação do Gabriel Trigo em gestão operacional e financeira"";""1","000"";""Uni."";""290","00000"";""290","00"";""-290","00"";""0","00"";""-290","00"";""-66","70"";""0","00"";""-356","70"";""-713","40""",,
 ,,,,,,,,,,,,
"Nota de Crédito;""FAT/10"";"""";""2023-12-17"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""-1260","33"";""0","00"";""-1260","33"";""-289","88"";""0","00"";""-1550","21"";""93036","95"";"""";""""",,,,,
"Nota de Crédito;""FAT/10"";"""";""2023-12-17"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (SONAM)"";""1","000"";""Uni."";""427","48000"";""427","48"";""-427","48"";""0","00"";""-427","48"";""-98","32"";""0","00"";""-525","80"";""-525","80""",,
"Nota de Crédito;""FAT/10"";"""";""2023-12-17"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (FLORENCIA)"";""1","000"";""Uni."";""420","11000"";""420","11"";""-420","11"";""0","00"";""-420","11"";""-96","63"";""0","00"";""-516","74"";""-1042","54""",,
"Nota de Crédito;""FAT/10"";"""";""2023-12-17"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (AMJAD)"";""1","000"";""Uni."";""412","74000"";""412","74"";""-412","74"";""0","00"";""-412","74"";""-94","93"";""0","00"";""-507","67"";""-1550","21""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/301"";"""";""2023-12-28"";""JOGO JOGADO - CONSULTORIA E FORMAÇÃO LDA"";""508784590"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""14","58"";""0","00"";""14","58"";""3","35"";""0","00"";""17","93"";""93054","88"";"""";""""",,,,,
"Fatura;""FAT/301"";"""";""2023-12-28"";""JOGO JOGADO - CONSULTORIA E FORMAÇÃO LDA"";""508784590"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Gestão"";""1","000"";""Uni."";""14","58000"";""14","58"";""14","58"";""0","00"";""14","58"";""3","35"";""0","00"";""17","93"";""17","93""",,
 ,,,,,,,,,,,,
";"""";"""";"""";"""";"""";"""";"""";"""";""0","00"";"""";"""";"""";"""";"""";"""";"""";"""";""75654","42"";""0","00"";""75654","42"";""17400","46"";""0","00"";""93054","88"";""""",,,,,
